employeeId,firstName,lastName,managerId,fullName,email,department,region,location,type,inactiveIdentity,jobtitle,costcenter
1a,James,Smith,null,James.Smith,James.Smith@hrmsmail.com,Executive Management,Americas,Austin,Employee,FALSE,CEO,"R03, L07, L08, L09"
1a2a,Mary,Johnson,1a,Mary.Johnson,Mary.Johnson@hrmsmail.com,Regional Operations,Americas,Austin,Employee,FALSE,Global Infrastructure Manager,"R03, L07"
1a2aX,D'Arcy,O'Mahoney,1a,D'Arcy.O'Mahoney,D'Arcy.O'Mahoney@hrmsmail.com,Regional Operations,Americas,Austin,Employee,FALSE,Global Infrastructure Manager,"R03, L07"
1a2b,John,Williams,1a,John.Williams,John.Williams@hrmsmail.com,Regional Operations,Americas,Brazil,Employee,FALSE,Global Infrastructure Manager,"R03, L09"
1a2c,Patricia,Jones,1a,Patricia.Jones,Patricia.Jones@hrmsmail.com,Regional Operations,Americas,San Jose,Employee,FALSE,Global Infrastructure Manager,"R03, L08"
1a2a3a,Robert,Brown,1a2a,Robert.Brown,Robert.Brown@hrmsmail.com,Information Technology,Americas,Austin,Employee,FALSE,IT Database Manager,"R03e, L07"
1a2a3b,Linda,Davis,1a2a,Linda.Davis,Linda.Davis@hrmsmail.com,Information Technology,Americas,Austin,Employee,FALSE,Information Security Analyst,"R03e, L07"
1a2a3c,Michael,Miller,1a2a,Michael.Miller,Michael.Miller@hrmsmail.com,Engineering,Americas,Austin,Employee,FALSE,Senior Production Manager,"R03e, L07"
1a2a3d,Barbara,Wilson,1a2a,Barbara.Wilson,Barbara.Wilson@hrmsmail.com,Engineering,Americas,Austin,Employee,FALSE,Production Manager,"R03e, L07"
1a2b3a,William,Moore,1a2b,William.Moore,William.Moore@hrmsmail.com,Human Resources,Americas,Brazil,Employee,FALSE,HR Manager,"R03e, L09"
1a2b3b,Elizabeth,Taylor,1a2b,Elizabeth.Taylor,Elizabeth.Taylor@hrmsmail.com,Human Resources,Americas,Brazil,Employee,FALSE,Training & Development Specialist,"R03e, L09"
1a2b3c,David,Anderson,1a2b,David.Anderson,David.Anderson@hrmsmail.com,Inventory,Americas,Brazil,Employee,FALSE,Procurement Manager,"R03e, L09"
1a2b3d,Jennifer,Thomas,1a2b,Jennifer.Thomas,Jennifer.Thomas@hrmsmail.com,Inventory,Americas,Brazil,Employee,FALSE,Cost Savings Analyst,"R03e, L09"
1a2c3a,Richard,Jackson,1a2c,Richard.Jackson,Richard.Jackson@hrmsmail.com,Accounting,Americas,San Jose,Employee,FALSE,Senior Finance Manager,"R03e, L08"
1a2c3b,Maria,White,1a2c,Maria.White,Maria.White@hrmsmail.com,Accounting,Americas,San Jose,Employee,FALSE,Senior Finance Manager,"R03e, L08"
1a2c3c,Charles,Harris,1a2c,Charles.Harris,Charles.Harris@hrmsmail.com,Finance,Americas,San Jose,Employee,FALSE,Data Analyst,"R03e, L08"
1a2c3d,Susan,Martin,1a2c,Susan.Martin,Susan.Martin@hrmsmail.com,Finance,Americas,San Jose,Employee,FALSE,Financial Planning Analyst,"R03e, L08"
1a2a3a4a,Joseph,Thompson,1a2a3a,Joseph.Thompson,Joseph.Thompson@hrmsmail.com,Information Technology,Americas,Austin,Employee,FALSE,RACF Security Administrator,"R03e, L07e"
1a2a3a4b,Margaret,Garcia,1a2a3a,Margaret.Garcia,Margaret.Garcia@hrmsmail.com,Information Technology,Americas,Austin,Employee,FALSE,Oracle Administrator,"R03e, L07e"
1a2a3a4e,Christopher,Clark,1a2a3a,Christopher.Clark,Christopher.Clark@hrmsmail.com,Information Technology,Americas,Austin,Employee,FALSE,SQL Server Administrator,"R03e, L07e"
1a2a3b4a,Lisa,Rodriguez,1a2a3b,Lisa.Rodriguez,Lisa.Rodriguez@hrmsmail.com,Information Technology,Americas,Austin,Employee,FALSE,Information Security Analyst,"R03e, L07e"
1a2a3b4b,Daniel,Lewis,1a2a3b,Daniel.Lewis,Daniel.Lewis@hrmsmail.com,Information Technology,Americas,Austin,Employee,FALSE,Information Security Analyst,"R03e, L07e"
1a2a3b4e,Karen,Hall,1a2a3b,Karen.Hall,Karen.Hall@hrmsmail.com,Information Technology,Americas,Austin,Employee,FALSE,Information Security Analyst,"R03e, L07e"
1a2a3c4a,Mark,Allen,1a2a3c,Mark.Allen,Mark.Allen@hrmsmail.com,Engineering,Americas,Austin,Employee,FALSE,Production Developer I,"R03e, L07e"
1a2a3c4b,Betty,Young,1a2a3c,Betty.Young,Betty.Young@hrmsmail.com,Engineering,Americas,Austin,Employee,FALSE,Production Developer II,"R03e, L07e"
1a2a3c4e,George,Wright,1a2a3c,George.Wright,George.Wright@hrmsmail.com,Engineering,Americas,Austin,Employee,FALSE,Production Developer I,"R03e, L07e"
1a2a3d4a,Sandra,Lopez,1a2a3d,Sandra.Lopez,Sandra.Lopez@hrmsmail.com,Engineering,Americas,Austin,Employee,TRUE,Staging Test Engineer I,"R03e, L07e"
1a2a3d4b,Kenneth,Hill,1a2a3d,Kenneth.Hill,Kenneth.Hill@hrmsmail.com,Engineering,Americas,Austin,Employee,FALSE,Production Test Engineer II,"R03e, L07e"
1a2a3d4e,Carol,Adams,1a2a3d,Carol.Adams,Carol.Adams@hrmsmail.com,Engineering,Americas,Austin,Employee,FALSE,Production Test Engineer I,"R03e, L07e"
1a2b3a4a,Edward,Baker,1a2b3a,Edward.Baker,Edward.Baker@hrmsmail.com,Human Resources,Americas,Brazil,Employee,FALSE,Recruiter,"R03e, L09e"
1a2b3a4b,Ruth,Gonzalez,1a2b3a,Ruth.Gonzalez,Ruth.Gonzalez@hrmsmail.com,Human Resources,Americas,Brazil,Employee,FALSE,Recruiter,"R03e, L09e"
1a2b3a4e,Ronald,Mitchell,1a2b3a,Ronald.Mitchell,Ronald.Mitchell@hrmsmail.com,Human Resources,Americas,Brazil,Employee,FALSE,Recruiter,"R03e, L09e"
1a2b3b4a,Michelle,Perez,1a2b3b,Michelle.Perez,Michelle.Perez@hrmsmail.com,Human Resources,Americas,Brazil,Employee,FALSE,Training & Development Specialist,"R03e, L09e"
1a2b3b4b,Anthony,Roberts,1a2b3b,Anthony.Roberts,Anthony.Roberts@hrmsmail.com,Human Resources,Americas,Brazil,Employee,FALSE,Training & Development Specialist,"R03e, L09e"
1a2b3b4e,Sarah,Campbell,1a2b3b,Sarah.Campbell,Sarah.Campbell@hrmsmail.com,Human Resources,Americas,Brazil,Employee,FALSE,Training & Development Specialist,"R03e, L09e"
1a2b3c4a,Jason,Parker,1a2b3c,Jason.Parker,Jason.Parker@hrmsmail.com,Finance,Americas,Brazil,Employee,FALSE,Procurement Analyst,"R03e, L09e"
1a2b3c4b,Kimberly,Evans,1a2b3c,Kimberly.Evans,Kimberly.Evans@hrmsmail.com,Inventory,Americas,Brazil,Employee,FALSE,Inventory Analyst II,"R03e, L09e"
1a2b3c4e,Gary,Stewart,1a2b3c,Gary.Stewart,Gary.Stewart@hrmsmail.com,Inventory,Americas,Brazil,Employee,FALSE,Procurement Analyst,"R03e, L09e"
1a2b3d4a,Jessica,Sanchez,1a2b3d,Jessica.Sanchez,Jessica.Sanchez@hrmsmail.com,Inventory,Americas,Brazil,Employee,TRUE,Cost Savings Analyst,"R03e, L09e"
1a2b3d4b,Timothy,Morris,1a2b3d,Timothy.Morris,Timothy.Morris@hrmsmail.com,Inventory,Americas,Brazil,Employee,FALSE,Cost Savings Analyst,"R03e, L09e"
1a2b3d4e,Cynthia,Cook,1a2b3d,Cynthia.Cook,Cynthia.Cook@hrmsmail.com,Inventory,Americas,Brazil,Employee,FALSE,Cost Savings Analyst,"R03e, L09e"
1a2c3a4a,Larry,Morgan,1a2c3a,Larry.Morgan,Larry.Morgan@hrmsmail.com,Accounting,Americas,San Jose,Employee,FALSE,AP Accounting Manager,"R03e, L08e"
1a2c3a4b,Angela,Bell,1a2c3a,Angela.Bell,Angela.Bell@hrmsmail.com,Accounting,Americas,San Jose,Employee,FALSE,AP Accounting Manager,"R03e, L08e"
1a2c3a4e,Frank,Rivera,1a2c3a,Frank.Rivera,Frank.Rivera@hrmsmail.com,Accounting,Americas,San Jose,Employee,FALSE,Accounts Payable Analyst,"R03e, L08e"
1a2c3b4a,Brenda,Cooper,1a2c3b,Brenda.Cooper,Brenda.Cooper@hrmsmail.com,Accounting,Americas,San Jose,Employee,FALSE,AR Accounting Manager,"R03e, L08e"
1a2c3b4b,Scott,Richardson,1a2c3b,Scott.Richardson,Scott.Richardson@hrmsmail.com,Accounting,Americas,San Jose,Employee,FALSE,Accounts Receivable Analyst,"R03e, L08e"
1a2c3b4e,Anna,Ward,1a2c3b,Anna.Ward,Anna.Ward@hrmsmail.com,Accounting,Americas,San Jose,Employee,FALSE,Accounts Receivable Analyst,"R03e, L08e"
1a2c3c4a,Stephen,Torres,1a2c3c,Stephen.Torres,Stephen.Torres@hrmsmail.com,Finance,Americas,San Jose,Employee,FALSE,Financial Planning Analyst,"R03e, L08e"
1a2c3c4b,Rebecca,Peterson,1a2c3c,Rebecca.Peterson,Rebecca.Peterson@hrmsmail.com,Finance,Americas,San Jose,Employee,FALSE,Financial Planning Analyst,"R03e, L08e"
1a2c3c4e,Raymond,James,1a2c3c,Raymond.James,Raymond.James@hrmsmail.com,Finance,Americas,San Jose,Employee,FALSE,Financial Planning Analyst,"R03e, L08e"
1a2c3d4a,Kathleen,Watson,1a2c3d,Kathleen.Watson,Kathleen.Watson@hrmsmail.com,Finance,Americas,San Jose,Employee,TRUE,Data Analyst,"R03e, L08e"
1a2c3d4b,Gregory,Brooks,1a2c3d,Gregory.Brooks,Gregory.Brooks@hrmsmail.com,Finance,Americas,San Jose,Employee,FALSE,Data Analyst,"R03e, L08e"
